,measure_year,measure_month,measure_day
315,1770.0,11.0,12.0
316,1770.0,11.0,13.0
317,1770.0,11.0,14.0
318,1770.0,11.0,15.0
319,1770.0,11.0,16.0
320,1770.0,11.0,17.0
321,1770.0,11.0,18.0
322,1770.0,11.0,19.0
323,1770.0,11.0,20.0
324,1770.0,11.0,21.0
325,1770.0,11.0,22.0
326,1770.0,11.0,23.0
327,1770.0,11.0,24.0
328,1770.0,11.0,25.0
329,1770.0,11.0,26.0
330,1770.0,11.0,27.0
331,1770.0,11.0,28.0
332,1770.0,11.0,29.0
333,1770.0,11.0,30.0
334,1770.0,12.0,1.0
335,1770.0,12.0,2.0
336,1770.0,12.0,3.0
337,1770.0,12.0,4.0
338,1770.0,12.0,5.0
339,1770.0,12.0,6.0
340,1770.0,12.0,7.0
341,1770.0,12.0,8.0
342,1770.0,12.0,9.0
343,1770.0,12.0,10.0
344,1770.0,12.0,11.0
345,1770.0,12.0,12.0
346,1770.0,12.0,13.0
347,1770.0,12.0,14.0
348,1770.0,12.0,15.0
349,1770.0,12.0,16.0
350,1770.0,12.0,17.0
351,1770.0,12.0,18.0
352,1770.0,12.0,19.0
353,1770.0,12.0,20.0
354,1770.0,12.0,21.0
355,1770.0,12.0,22.0
356,1770.0,12.0,23.0
357,1770.0,12.0,24.0
358,1770.0,12.0,25.0
359,1770.0,12.0,26.0
360,1770.0,12.0,27.0
361,1770.0,12.0,28.0
362,1770.0,12.0,29.0
363,1770.0,12.0,30.0
364,1770.0,12.0,31.0
365,1771.0,1.0,1.0
366,1771.0,1.0,2.0
367,1771.0,1.0,3.0
368,1771.0,1.0,4.0
369,1771.0,1.0,5.0
370,1771.0,1.0,6.0
371,1771.0,1.0,7.0
372,1771.0,1.0,8.0
373,1771.0,1.0,9.0
374,1771.0,1.0,10.0
375,1771.0,1.0,11.0
376,1771.0,1.0,12.0
377,1771.0,1.0,13.0
378,1771.0,1.0,14.0
379,1771.0,1.0,15.0
380,1771.0,1.0,16.0
381,1771.0,1.0,17.0
382,1771.0,1.0,18.0
383,1771.0,1.0,19.0
384,1771.0,1.0,20.0
385,1771.0,1.0,21.0
386,1771.0,1.0,22.0
387,1771.0,1.0,23.0
388,1771.0,1.0,24.0
389,1771.0,1.0,25.0
390,1771.0,1.0,26.0
391,1771.0,1.0,27.0
392,1771.0,1.0,28.0
393,1771.0,1.0,29.0
394,1771.0,1.0,30.0
395,1771.0,1.0,31.0
396,1771.0,2.0,1.0
397,1771.0,2.0,2.0
398,1771.0,2.0,3.0
399,1771.0,2.0,4.0
400,1771.0,2.0,5.0
401,1771.0,2.0,6.0
402,1771.0,2.0,7.0
403,1771.0,2.0,8.0
404,1771.0,2.0,9.0
405,1771.0,2.0,10.0
406,1771.0,2.0,11.0
407,1771.0,2.0,12.0
408,1771.0,2.0,13.0
409,1771.0,2.0,14.0
410,1771.0,2.0,15.0
411,1771.0,2.0,16.0
412,1771.0,2.0,17.0
413,1771.0,2.0,18.0
414,1771.0,2.0,19.0
415,1771.0,2.0,20.0
416,1771.0,2.0,21.0
417,1771.0,2.0,22.0
418,1771.0,2.0,23.0
419,1771.0,2.0,24.0
420,1771.0,2.0,25.0
421,1771.0,2.0,26.0
422,1771.0,2.0,27.0
423,1771.0,2.0,28.0
424,1771.0,3.0,1.0
425,1771.0,3.0,2.0
426,1771.0,3.0,3.0
427,1771.0,3.0,4.0
428,1771.0,3.0,5.0
429,1771.0,3.0,6.0
430,1771.0,3.0,7.0
431,1771.0,3.0,8.0
432,1771.0,3.0,9.0
433,1771.0,3.0,10.0
434,1771.0,3.0,11.0
435,1771.0,3.0,12.0
436,1771.0,3.0,13.0
437,1771.0,3.0,14.0
438,1771.0,3.0,15.0
439,1771.0,3.0,16.0
440,1771.0,3.0,17.0
441,1771.0,3.0,18.0
442,1771.0,3.0,19.0
443,1771.0,3.0,20.0
444,1771.0,3.0,21.0
445,1771.0,3.0,22.0
446,1771.0,3.0,23.0
447,1771.0,3.0,24.0
448,1771.0,3.0,25.0
449,1771.0,3.0,26.0
